,LeagueID,SeasonID,TeamID,TeamCity,TeamName,TeamSlug,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedConferenceTitle,ClinchedDivisionTitle,ClinchedPlayoffBirth,ClinchedPlayIn,EliminatedConference,EliminatedDivision,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Score_80_Plus,Opp_Score_80_Plus,Score_Below_80,Opp_Score_Below_80,TotalPoints,OppTotalPoints,DiffTotalPoints,TEAM_NAME
0,00,22022,1610612743,Denver,Nuggets,nuggets,West,34-18,1, - w,Northwest,10-6 ,1,53,29,0.646,0,53-29,34-7 ,19-22,5-5  ,7-3  ,3-7  ,3-0  ,7-6  ,29-15,16,W 16,-4,L 4,9,4,2,W 2,-4,L 4,1,W 1,0.0,0.0,1,1,1,0,0,0,33-9 ,18-20,2-0  ,41-4 ,10-24,2-1  ,51-21,45-29,36-18,48-8 ,39-9 ,24-7 ,115.8,112.5,3.3,19-11,4-6,7-3,8-2,34-18,10-6,13-5,11-7,12-4,9-3,7-7,2-3,,,,,,4-3,10-4,9-5,53-29,53-29,0-0  ,0-0  ,9495,9222,273,Denver Nuggets
1,00,22022,1610612749,Milwaukee,Bucks,bucks,East,35-17,1, - e,Central,11-5 ,1,58,24,0.707,0,58-24,32-9 ,26-15,6-4  ,6-4  ,7-3  ,3-2  ,6-1  ,30-15,11,W 11,9,W 9,16,4,-1,L 1,-1,L 1,-2,L 2,0.0,0.0,1,1,1,0,0,0,44-7 ,11-16,3-1  ,51-3 ,7-21 ,0-0  ,57-18,47-23,28-15,50-2 ,44-9 ,15-6 ,116.9,113.3,3.6,35-17,12-6,11-5,12-6,23-7,9-1,8-2,6-4,11-5,10-0,11-5,3-2,,,,,,6-0,9-5,8-7,58-24,58-24,0-0  ,0-0  ,9589,9291,298,Milwaukee Bucks
2,00,22022,1610612738,Boston,Celtics,celtics,East,34-18,2, - a,Atlantic,11-5 ,1,57,25,0.695,0,57-25,32-9 ,25-16,8-2  ,8-2  ,5-5  ,4-7  ,5-8  ,31-11,10,W 10,6,W 6,9,3,7,W 7,-1,L 1,3,W 3,1.0,0.0,0,1,1,0,0,0,45-9 ,10-16,2-0  ,51-7 ,5-18 ,1-0  ,56-19,43-23,33-14,42-4 ,36-7 ,25-9 ,117.9,111.4,6.5,34-18,11-5,11-7,12-6,23-7,7-3,7-3,9-1,10-5,8-3,10-6,3-1,,,,,,4-2,14-2,8-6,57-25,57-25,0-0  ,0-0  ,9671,9136,535,Boston Celtics
3,00,22022,1610612763,Memphis,Grizzlies,grizzlies,West,30-22,2, - sw,Southwest,13-3 ,1,51,31,0.622,0,51-31,35-6 ,16-25,6-4  ,9-1  ,4-6  ,3-1  ,3-6  ,31-17,12,W 12,-8,L 8,11,5,2,W 2,-1,L 1,-1,L 1,2.0,0.0,0,1,1,0,0,0,43-13,8-18 ,0-0  ,44-8 ,7-21 ,0-2  ,51-27,43-31,22-18,41-6 ,36-16,31-14,116.9,113.0,3.9,21-9,5-5,8-2,8-2,30-22,9-9,8-10,13-3,10-5,5-5,12-5,2-3,,,,,,4-3,8-6,10-4,51-31,51-31,0-0  ,0-0  ,9587,9264,323,Memphis Grizzlies
4,00,22022,1610612755,Philadelphia,76ers,sixers,East,34-18,3, - x,Atlantic,10-6 ,2,54,28,0.659,0,54-28,29-12,25-16,5-5  ,6-4  ,6-4  ,4-2  ,10-5 ,26-11,11,W 11,8,W 8,8,3,-1,L 1,2,W 2,2,W 2,4.0,3.0,0,0,1,0,0,0,34-4 ,19-23,1-1  ,40-3 ,9-25 ,5-0  ,54-22,40-27,29-18,36-11,31-4 ,32-13,115.2,110.9,4.3,34-18,10-6,13-5,11-7,20-10,7-3,8-2,5-5,11-3,7-4,12-5,3-2,,,,,,4-4,8-6,9-4,54-28,54-28,0-0  ,0-0  ,9448,9094,354,Philadelphia 76ers
5,00,22022,1610612758,Sacramento,Kings,kings,West,32-20,3, - p,Pacific,9-7  ,1,48,34,0.585,0,48-34,23-18,25-16,5-5  ,4-6  ,7-3  ,4-1  ,9-7  ,19-13,6,W 6,7,W 7,7,4,-3,L 3,-2,L 2,-3,L 3,5.0,0.0,0,1,1,0,0,0,30-11,16-22,2-1  ,38-3 ,9-27 ,1-4  ,48-30,44-34,18-23,32-5 ,28-10,29-16,120.7,118.1,2.6,16-14,4-6,7-3,5-5,32-20,11-7,9-7,12-6,9-6,8-4,11-5,1-4,,,,,,2-4,9-5,8-6,48-34,48-34,0-0  ,0-0  ,9898,9681,217,Sacramento Kings
6,00,22022,1610612739,Cleveland,Cavaliers,cavaliers,East,34-18,4, - x,Central,13-3 ,2,51,31,0.622,0,51-31,31-10,20-21,7-3  ,6-4  ,7-3  ,7-0  ,5-8  ,33-11,7,W 7,-5,L 5,8,5,-1,L 1,2,W 2,-1,L 1,7.0,7.0,0,0,1,0,0,0,35-10,16-18,0-3  ,37-8 ,14-21,0-2  ,49-25,28-30,24-18,33-11,32-7 ,31-22,112.3,106.9,5.4,34-18,8-10,13-3,13-5,17-13,4-6,5-5,8-2,8-8,8-3,9-5,3-1,,,,,,5-1,9-7,9-6,51-31,51-31,0-0  ,0-0  ,9205,8764,441,Cleveland Cavaliers
7,00,22022,1610612756,Phoenix,Suns,suns,West,30-22,4, - x,Pacific,9-7  ,2,45,37,0.549,0,45-37,28-13,17-24,7-3  ,7-3  ,5-5  ,1-3  ,4-9  ,28-17,7,W 7,4,W 4,7,6,-1,L 1,-1,L 1,-2,L 2,8.0,3.0,0,0,1,0,0,0,36-9 ,9-28 ,0-0  ,41-7 ,4-30 ,0-0  ,45-27,35-35,23-24,36-8 ,29-14,29-16,113.6,111.6,2.1,15-15,6-4,6-4,3-7,30-22,11-7,9-7,10-8,7-8,6-4,9-6,3-2,,,,,,5-1,10-5,5-11,45-37,45-37,0-0  ,0-0  ,9319,9149,170,Phoenix Suns
8,00,22022,1610612746,LA,Clippers,clippers,West,27-25,5, - x,Pacific,9-7  ,3,44,38,0.537,0,44-38,23-18,21-20,6-4  ,7-3  ,5-5  ,2-3  ,4-6  ,20-21,4,W 4,-5,L 5,5,6,3,W 3,1,W 1,3,W 3,9.0,4.0,0,0,1,0,0,0,24-9 ,16-28,4-1  ,33-10,9-26 ,2-2  ,41-28,35-38,20-25,32-10,28-8 ,20-10,113.6,113.1,0.5,17-13,6-4,6-4,5-5,27-25,6-12,9-7,12-6,8-8,4-6,8-6,3-1,,,,,,3-4,10-6,8-7,44-38,44-38,0-0  ,0-0  ,9314,9273,41,LA Clippers
9,00,22022,1610612752,New York,Knicks,knicks,East,32-20,5, - x,Atlantic,8-8  ,3,47,35,0.573,0,47-35,23-18,24-17,5-5  ,7-3  ,5-5  ,4-6  ,10-4 ,23-13,6,W 6,6,W 6,9,5,-1,L 1,-1,L 1,-2,L 2,11.0,10.0,0,0,1,0,0,0,37-12,10-22,0-1  ,38-9 ,7-23 ,2-3  ,46-31,36-35,25-20,36-12,39-16,18-13,116.0,113.1,2.9,32-20,8-8,12-6,12-6,15-15,7-3,4-6,4-6,8-7,9-2,9-6,2-2,,,,,,3-3,7-9,9-6,47-35,47-35,0-0  ,0-0  ,9514,9274,240,New York Knicks
